,,,,,,,,,,,,
,Tract Code,Tract Population,Tract Minority %,Number of Families,# of House- holds,Non-Hisp White Population,Tract Minority Population,American Indian Pop- ulation,Asian/ Hawaiian/ Pacific Islander Population,Black Pop- ulation,Hispanic Population,Other Population/ Two or More Races
,256.00,5482,85.35,1061,1527,803,4679,4,2943,101,1461,170
,257.01,4716,89.10,1156,1584,514,4202,5,2929,93,1083,92
,257.02,4551,90.53,960,1196,431,4120,5,2759,79,1146,131
,258.00,2030,88.13,439,649,241,1789,0,1138,112,464,75
,259.00,4537,82.54,981,1472,792,3745,3,2291,294,966,191
,260.01,5553,88.06,1320,1817,663,4890,3,2128,77,2502,180
,260.02,3282,78.31,683,960,712,2570,0,1210,131,1086,143
,260.03,4890,85.13,1173,1390,727,4163,10,2177,72,1768,136
,260.04,4162,86.21,903,1200,574,3588,4,2012,48,1412,112
,261.00,6890,89.06,1414,2088,754,6136,13,4122,70,1713,218
,262.01,4174,93.82,751,997,258,3916,4,2523,88,1198,103
,262.02,3323,90.94,862,1061,301,3022,0,1971,63,918,70
,263.01,4761,90.78,1118,1440,439,4322,2,2863,38,1321,98
,263.02,4760,87.61,1143,1597,590,4170,9,2648,205,1184,124
,263.03,4632,89.83,966,1375,471,4161,0,2645,86,1296,134
,264.01,3954,95.80,903,1027,166,3788,1,2593,292,786,116
,264.02,4174,90.49,925,1323,397,3777,2,2415,293,932,135
,264.03,4050,95.19,906,1231,195,3855,2,2797,168,801,87
,264.04,3100,98.13,588,670,58,3042,4,1650,442,881,65
,301.01,4592,42.44,794,2029,2643,1949,8,1044,91,454,352
,301.02,5500,43.24,936,2161,3122,2378,0,1291,170,486,431
,302.01,3988,50.38,1061,2007,1979,2009,2,1292,67,362,286
,302.02,4507,48.79,803,2145,2308,2199,6,1270,99,411,413
,303.01,6076,55.58,1221,2339,2699,3377,2,2334,88,477,476
,303.02,3670,59.92,847,1400,1471,2199,0,1613,21,286,279
,304.00,5269,55.57,1607,2220,2341,2928,7,2086,47,393,395
,305.00,3220,52.39,582,1019,1533,1687,7,825,258,401,196
,306.00,2343,48.48,698,912,1207,1136,1,686,25,234,190
,307.00,6859,47.78,2017,2637,3582,3277,4,1784,144,737,608
,308.00,5898,48.25,1425,2200,3052,2846,5,1879,87,424,451
,309.00,6707,57.70,1740,2420,2837,3870,2,2707,176,600,385
,310.00,4192,58.64,1180,1440,1734,2458,3,1505,133,499,318
,311.00,6305,57.94,1673,2381,2652,3653,12,1976,170,1056,439
,312.01,6064,84.61,1252,1895,933,5131,8,3497,326,1069,231
,312.02,3051,87.94,609,820,368,2683,0,1758,289,501,135
,313.01,3786,79.79,818,1637,765,3021,4,1856,431,463,267
,313.02,5673,87.18,993,1908,727,4946,5,3297,584,833,227
,314.01,2942,94.66,464,578,157,2785,4,1729,200,761,91
,314.02,4287,88.10,962,1288,510,3777,9,2206,487,925,150
,326.01,4412,66.16,1033,1793,1493,2919,8,2154,77,409,271
,326.02,4289,68.27,1013,1609,1361,2928,1,2358,43,277,249
,327.00,6472,67.14,1872,2573,2127,4345,1,3448,78,443,375
,328.01,4234,72.32,906,1416,1172,3062,6,2490,59,323,184
,328.02,4097,72.37,977,1482,1132,2965,5,2470,53,240,197
,329.01,5015,73.40,1044,1611,1334,3681,6,3064,44,322,245
,329.02,3850,73.92,1021,1456,1004,2846,4,2359,27,295,161
,330.01,3893,68.64,783,1509,1221,2672,1,2115,37,308,211
,330.02,4021,63.37,1032,1468,1473,2548,5,1917,52,325,249
,331.00,4025,67.70,980,1356,1300,2725,9,2301,35,222,158
,332.01,1729,67.96,224,629,554,1175,5,399,215,448,108
,332.03,4003,69.77,607,1554,1210,2793,10,1276,372,862,273
,332.04,3839,69.91,974,1774,1155,2684,13,1228,349,876,218
,351.01,3551,61.42,843,1480,1370,2181,7,1567,43,337,227
,351.02,4252,73.47,1127,1337,1128,3124,0,2542,42,290,250
,352.01,5288,63.58,1300,1844,1926,3362,6,2467,94,401,394
,352.02,4353,57.57,1056,1786,1847,2506,7,1625,93,491,290
,353.00,7360,74.55,1743,2642,1873,5487,9,4493,88,556,341
,354.00,6696,67.41,1622,2400,2182,4514,10,3380,98,603,423
,401.00,4417,48.63,847,1717,2269,2148,0,1339,71,422,316
,402.00,5539,53.01,1226,2380,2603,2936,1,1902,114,491,428
,426.01,3917,54.28,934,1723,1791,2126,0,1441,61,354,270
,426.02,3469,50.33,746,1288,1723,1746,7,1110,50,309,270
,427.00,5496,57.71,1347,2433,2324,3172,9,2197,101,525,340
,428.00,2433,33.99,649,868,1606,827,0,508,11,136,172
,451.00,5048,57.03,979,1997,2169,2879,0,1941,90,487,361
,452.01,3368,56.12,742,1319,1478,1890,5,1291,46,306,242
,452.02,3405,58.15,735,1484,1425,1980,2,1392,55,284,247
,476.00,5302,60.66,1351,2377,2086,3216,3,2325,69,400,419
,477.01,4435,62.50,1040,2033,1663,2772,4,1985,80,423,280
,477.02,3823,60.63,866,1549,1505,2318,10,1732,69,298,209
,478.01,4140,62.51,957,1654,1552,2588,2,1995,59,265,267
,478.02,3786,64.90,749,1434,1329,2457,4,1770,65,371,247
,479.02,3691,55.27,856,1588,1651,2040,6,1403,46,293,292
,479.03,3782,58.09,686,1472,1585,2197,5,1568,53,288,283
,479.04,3026,53.73,677,1429,1400,1626,3,1108,80,229,206
,601.00,3690,32.79,826,1318,2480,1210,12,318,87,463,330
,604.00,2325,52.30,349,956,1109,1216,4,669,106,311,126
,605.02,3214,96.14,753,1029,124,3090,7,1278,665,968,172
,607.01,8610,64.01,1823,2856,3099,5511,23,3321,459,1158,550
,607.02,3142,70.31,95,723,933,2209,5,1524,154,323,203
,607.03,5680,69.33,1167,2486,1742,3938,2,2784,244,585,323
,610.00,5044,88.22,1136,1768,594,4450,8,2546,670,985,241
,611.01,2008,90.79,547,958,185,1823,0,1689,56,46,32
,611.02,2443,97.79,643,1022,54,2389,2,2272,39,60,16
,612.00,4166,89.46,778,1169,439,3727,5,999,809,1749,165
,614.01,3336,57.82,829,1522,1407,1929,17,664,338,674,236
,614.02,2545,55.01,560,1151,1145,1400,0,583,248,370,199
,615.01,2106,46.82,286,1134,1120,986,3,597,70,181,135
,615.02,2454,51.51,169,1271,1190,1264,6,769,93,237,159
,615.03,4039,64.62,612,1406,1429,2610,13,1787,176,383,251
,615.04,2246,60.82,447,795,880,1366,2,1025,76,151,112
,615.05,1051,62.61,212,356,393,658,0,546,20,49,43
,615.06,4452,61.68,1253,2713,1706,2746,2,2077,119,307,241
,615.07,1738,65.77,193,604,595,1143,2,639,161,248,93
,615.08,2507,57.36,445,923,1069,1438,6,1015,68,187,162
,9802.00,79,41.77,0,0,46,33,0,5,21,6,1
,9803.00,284,60.56,3,25,112,172,5,54,38,52,23
,9804.01,0,0.00,0,0,0,0,0,0,0,0,0
,9805.01,125,100.00,30,122,0,125,0,116,0,5,4
,9806.00,1340,80.15,177,308,266,1074,9,481,328,186,70
,9809.00,1248,66.27,47,129,421,827,14,183,225,338,67
,9901.00,0,0.00,0,0,0,0,0,0,0,0,0
,9902.00,0,0.00,0,0,0,0,0,0,0,0,0
