soc_id,soc_code
518,35-2014.00
519,35-2015.00
520,35-2021.00
521,35-3011.00
522,35-3023.00
523,35-3023.01
524,35-3031.00
525,35-3041.00
526,35-9011.00
527,35-9021.00
528,35-9031.00
529,37-1011.00
530,37-1012.00
531,37-2011.00
532,37-2012.00
533,37-2021.00
534,37-3011.00
535,37-3012.00
536,37-3013.00
537,39-1013.00
538,39-1014.00
539,39-1022.00
540,39-2011.00
541,39-2021.00
542,39-3011.00
543,39-3012.00
544,39-3021.00
545,39-3031.00
546,39-3091.00
547,39-3092.00
548,39-3093.00
549,39-4011.00
550,39-4012.00
551,39-4021.00
552,39-4031.00
553,39-5011.00
554,39-5012.00
555,39-5091.00
556,39-5092.00
557,39-5093.00
558,39-5094.00
559,39-6011.00
560,39-6012.00
561,39-7011.00
562,39-7012.00
563,39-9011.00
564,39-9011.01
565,39-9031.00
566,39-9032.00
567,39-9041.00
568,41-1011.00
569,41-1012.00
570,41-2011.00
571,41-2012.00
572,41-2021.00
573,41-2022.00
574,41-2031.00
575,41-3011.00
576,41-3021.00
577,41-3031.00
578,41-3041.00
579,41-3091.00
580,41-4011.00
581,41-4011.07
582,41-4012.00
583,41-9011.00
584,41-9012.00
585,41-9021.00
586,41-9022.00
587,41-9031.00
588,41-9041.00
589,41-9091.00
590,43-1011.00
591,43-2011.00
592,43-2021.00
593,43-3011.00
594,43-3021.00
595,43-3031.00
596,43-3041.00
597,43-3051.00
598,43-3061.00
599,43-3071.00
600,43-4011.00
601,43-4021.00
602,43-4031.00
603,43-4041.00
604,43-4051.00
605,43-4061.00
606,43-4071.00
607,43-4081.00
608,43-4111.00
609,43-4121.00
610,43-4131.00
611,43-4141.00
612,43-4151.00
613,43-4161.00
614,43-4171.00
615,43-4181.00
616,43-5011.00
617,43-5011.01
618,43-5021.00
619,43-5031.00
620,43-5032.00
621,43-5041.00
622,43-5051.00
623,43-5052.00
624,43-5053.00
625,43-5061.00
626,43-5071.00
627,43-5111.00
628,43-6011.00
629,43-6012.00
630,43-6013.00
631,43-6014.00
632,43-9021.00
633,43-9022.00
634,43-9031.00
635,43-9041.00
636,43-9051.00
637,43-9061.00
638,43-9071.00
639,43-9081.00
640,43-9111.00
641,45-1011.00
642,45-2011.00
643,45-2021.00
644,45-2041.00
645,45-2091.00
646,45-2092.00
647,45-2093.00
648,45-3031.00
649,45-4011.00
650,45-4021.00
651,45-4022.00
652,45-4023.00
653,47-1011.00
654,47-1011.03
655,47-2011.00
656,47-2021.00
657,47-2022.00
658,47-2031.00
659,47-2041.00
660,47-2042.00
661,47-2043.00
662,47-2044.00
663,47-2051.00
664,47-2053.00
665,47-2061.00
666,47-2071.00
