NTA2020,min_lon,min_lat,max_lon,max_lat
BX0302,-73.91049010681593,40.82910413259041,-73.89479022112339,40.844842071458814
BX0303,-73.8971722103537,40.82237725993692,-73.88005188503385,40.840105044973484
BX0391,-73.9012253498755,40.83434214589528,-73.88659802345121,40.84352460706794
BX0401,-73.93307251068106,40.81324802465038,-73.90869131229387,40.83765612866596
BX0402,-73.93360592036706,40.828156152538824,-73.92131475450365,40.84546459595457
BX0403,-73.92286485397788,40.83393834677461,-73.90483494132492,40.845143391806786
BX0491,-73.93095939346627,40.82572391425552,-73.92221736139518,40.83610874281403
BX0492,-73.90963449164144,40.83696459702596,-73.90501514957927,40.843062816475516
BX0501,-73.92804748401839,40.8442660632958,-73.90468371344764,40.8596186018332
BX0502,-73.91418502222626,40.844473941535476,-73.89560883346182,40.85604710972903
BX0503,-73.90565953515333,40.85390697543615,-73.8913802338018,40.862756383422415
BX0601,-73.88618432100424,40.834424789995396,-73.86785992993764,40.849238372873245
BX0602,-73.90131729886909,40.83915802646802,-73.88311982569914,40.85469655009017
BX0603,-73.89644052500107,40.84822109237994,-73.8805054808896,40.867257588007035
BX0701,-73.91902369125216,40.855918821828375,-73.89016163634778,40.8735473542359
BX0702,-73.90043257905204,40.863476362823484,-73.88146889662579,40.883020601452664
BX0703,-73.88716505265282,40.8666021850244,-73.8701531853105,40.8871183217562
BX0801,-73.90614668924579,40.86788083771621,-73.88704304071332,40.88596459085437
BX0802,-73.91578515638106,40.872157347970656,-73.89668243080801,40.890708966148914
BX0803,-73.92490327473082,40.87566362786071,-73.89635785971493,40.91553277650267
BX0901,-73.8846445070049,40.81823562312727,-73.85970333313733,40.84108779738687
BX0902,-73.87145992831213,40.80445746241946,-73.84576561768257,40.826752086463316
BX0903,-73.86366561257752,40.81158227934545,-73.83595118282636,40.83452449583525
BX0904,-73.86448011717788,40.83292068300381,-73.85168459747828,40.84247015515566
BX0991,-73.88098029593267,40.80994591122658,-73.86111126701573,40.8247202088391
BX1001,-73.85333525008224,40.82842653831395,-73.83936794316827,40.85020272546583
BX1002,-73.84233077477157,40.80399636431488,-73.79006256328046,40.84533869377133
BX1003,-73.83682639764963,40.833855808217244,-73.77992703744438,40.8605322027834
BX1004,-73.83489248485314,40.85920657704238,-73.81578764066082,40.88612798695445
BX1071,-73.78385861912027,40.845097342721886,-73.7653324399529,40.86010101335934
BX1091,-73.84043199540832,40.804938255993285,-73.82317237375307,40.82844144171947
BX1101,-73.87359713633828,40.839595653461934,-73.85333525008224,40.85806383431089
BX1102,-73.86303938139311,40.84247015515566,-73.83523962337831,40.858717502858774
BX1103,-73.85961281249196,40.85727680959727,-73.82840758909647,40.87421779315942
BX1104,-73.87108262578981,40.8572659893286,-73.85663664103124,40.87138965023694
BX1161,-73.84494053796882,40.84028356682556,-73.82855352691834,40.86075450706673
BX1201,-73.87094414681857,40.86965632371769,-73.8474439688464,40.8953770167024
BX1202,-73.85363638793223,40.86216408776714,-73.79300652649187,40.89414233138783
BX1203,-73.87711974105801,40.88697853116724,-73.83839199123516,40.910449671705386
BX1271,-73.88041929388046,40.87994766929535,-73.8635591575532,40.896640211013825
BX2691,-73.89990425546164,40.8827096330056,-73.86789798562498,40.91141737534888
BX2791,-73.88397515030549,40.841520647539404,-73.86825077740579,40.87850969541331
BX2891,-73.83285111227069,40.841081152764545,-73.76668098944248,40.88673402025292
MN0101,-74.01934254624474,40.69406908358225,-73.99476934125526,40.71913145581914
